player,sport_name,sport_id,market,line,side,american_price,decimal_price,payout_multiplier,selection_header,selection_subheader,updated_at
MATYS,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, MATYS,Higher 28.5 kills on maps 1+2,2025-08-31T23:06:18Z
MATYS,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, MATYS,Lower 28.5 kills on maps 1+2,2025-08-31T23:06:18Z
MATYS,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, MATYS,Higher 16.5 headshots on maps 1+2,2025-08-31T23:06:18Z
MATYS,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, MATYS,Lower 16.5 headshots on maps 1+2,2025-08-31T23:06:18Z
xertioN,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,xertioN,Higher 31.5 kills on maps 1+2,2025-08-31T23:06:01Z
xertioN,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,xertioN,Lower 31.5 kills on maps 1+2,2025-08-31T23:06:01Z
xertioN,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,xertioN,Higher 16.5 headshots on maps 1+2,2025-08-31T23:06:01Z
xertioN,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,xertioN,Lower 16.5 headshots on maps 1+2,2025-08-31T23:06:01Z
r3salt,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, r3salt,Higher 30.5 kills on maps 1+2,2025-08-31T23:06:19Z
r3salt,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, r3salt,Lower 30.5 kills on maps 1+2,2025-08-31T23:06:19Z
r3salt,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, r3salt,Higher 16.5 headshots on maps 1+2,2025-08-31T23:06:19Z
r3salt,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, r3salt,Lower 16.5 headshots on maps 1+2,2025-08-31T23:06:19Z
Jambo,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, Jambo,Higher 31.5 kills on maps 1+2,2025-09-01T00:29:37Z
Jambo,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, Jambo,Lower 31.5 kills on maps 1+2,2025-09-01T00:29:37Z
Jambo,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, Jambo,Higher 13.5 headshots on maps 1+2,2025-08-31T21:45:04Z
Jambo,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, Jambo,Lower 13.5 headshots on maps 1+2,2025-08-31T21:45:04Z
mezii,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,mezii,Higher 15.5 headshots on maps 1+2,2025-09-01T00:30:17Z
mezii,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,mezii,Lower 15.5 headshots on maps 1+2,2025-09-01T00:30:17Z
mezii,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,mezii,Higher 26.5 kills on maps 1+2,2025-08-31T14:00:13Z
mezii,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,mezii,Lower 26.5 kills on maps 1+2,2025-08-31T14:00:13Z
Brollan,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,Brollan,Higher 25.5 kills on maps 1+2,2025-08-31T23:06:01Z
Brollan,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,Brollan,Lower 25.5 kills on maps 1+2,2025-08-31T23:06:01Z
Brollan,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,Brollan,Higher 12.5 headshots on maps 1+2,2025-08-31T23:06:01Z
Brollan,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,Brollan,Lower 12.5 headshots on maps 1+2,2025-08-31T23:06:01Z
executor,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, executor,Higher 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
executor,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, executor,Lower 28.5 kills on maps 1+2,2025-08-31T23:06:19Z
executor,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, executor,Higher 14.5 headshots on maps 1+2,2025-08-31T23:06:19Z
executor,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, executor,Lower 14.5 headshots on maps 1+2,2025-08-31T23:06:19Z
executor,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, executor,Higher 28.5 kills on maps 1+2,2025-09-01T02:16:06Z
executor,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, executor,Lower 28.5 kills on maps 1+2,2025-09-01T02:16:06Z
